PKLT_CD,PKLT_NM,ADDR,PKLT_TYPE,PRK_TYPE_NM,OPER_SE,OPER_SE_NM,TELNO,PRK_STTS_YN,PRK_STTS_NM,TPKCT,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,WD_OPER_BGNG_TM,WD_OPER_END_TM,WE_OPER_BGNG_TM,WE_OPER_END_TM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,SAT_CHGD_FREE_SE,SAT_CHGD_FREE_NM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC
171721,세종로 공영주차장(시),종로구 세종로 80-1,NW,노외 주차장,1,시간제 주차장,02-2290-6566,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1260.0,619.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,176000,,430.0,5.0,430.0,5.0,0.0,0.0,0.0,0.0,30900.0,*,*,N,*
171730,종묘주차장 공영주차장(시),종로구 훈정동 2-0,NW,노외 주차장,1,시간제 주차장,02-2290-6166,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1317.0,1194.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,175000,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,28800.0,*,*,N,*
171900,훈련원공원 공영주차장(시),중구 을지로5가 40-3,NW,노외 주차장,1,시간제 주차장,02-3405-4597,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),873.0,631.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,176000,,550.0,5.0,550.0,5.0,0.0,0.0,0.0,0.0,39600.0,*,*,N,*
172051,한강진역 공영주차장(시),용산구 한남동 728-27,NW,노외 주차장,1,시간제 주차장,02-795-6406,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),174.0,122.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,168000,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,28800.0,*,*,N,*
172065,용산주차빌딩 공영주차장(시),용산구 한강로2가 12-9,NW,노외 주차장,1,시간제 주차장,02-2290-6014,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),561.0,292.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,168000,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,21600.0,*,*,N,*
172382,봉화산역(남) 공영주차장(시),중랑구 신내동 647-0,NW,노외 주차장,1,시간제 주차장,,0,미연계중,85.0,0.0,,Y,유료,N,야간 미개방,0900,2200,0900,2200,0900,2200,N,무료,N,무료,42000,,80.0,5.0,80.0,5.0,0.0,0.0,0.0,0.0,5700.0,*,*,N,*
172605,우이동 공영주차장(시),강북구 우이동 105-2,NW,노외 주차장,1,시간제 주차장,02-944-3044,0,미연계중,82.0,0.0,2025-04-03 12:34:37,N,무료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,*,*,N,*
172844,마포유수지(시),마포구 마포동 36-1,NW,노외 주차장,5,시간제 + 버스전용 주차장,02-2290-6093,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),503.0,330.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,162000,,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,15800.0,*,*,N,*
172935,웃우물 공영주차장(시),양천구 신정동 943-25,NW,노외 주차장,1,시간제 주차장,02-2290-6311,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79.0,54.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,15800.0,*,*,N,*
172937,목동체비지 공영주차장(시),양천구 목동 908-26,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),55.0,72.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,90000,,130.0,5.0,130.0,5.0,0.0,0.0,0.0,0.0,9300.0,*,*,N,*
172970,방화역(서) 공영주차장(시),강서구 방화동 829-1,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),69.0,33.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
172971,방화역(동) 공영주차장(시),강서구 방화동 830-4,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),67.0,393.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
172979,개화산역 공영주차장(시),강서구 방화동 845-0,NW,노외 주차장,1,시간제 주차장,02-2290-6064,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),321.0,264.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
173005,가양3동 공영주차장(시),강서구 가양동 1488-12,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),56.0,407.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,140000,,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,14400.0,*,*,N,*
173047,가양역 공영주차장(시),강서구 가양동 1480-10,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79.0,60.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
173424,일원역 공영주차장(시),강남구 일원동 716-2,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),67.0,49.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,70000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
173452,사당노외 공영주차장(시),서초구 방배동 507-1,NW,노외 주차장,1,시간제 주차장,02-3405-4078,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),183.0,116.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,182000,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,28800.0,*,*,N,*
173553,수서역북 공영주차장(시),강남구 수서동 735-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),561.0,456.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,168000,,320.0,5.0,320.0,5.0,0.0,0.0,0.0,0.0,23000.0,*,*,N,*
173646,신천유수지 공영주차장(시),송파구 신천동 14-0,NW,노외 주차장,1,시간제 주차장,02-414-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192.0,153.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
173752,복정역 공영주차장(시),송파구 장지동 600-2,NW,노외 주차장,1,시간제 주차장,02-3405-4075,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),362.0,270.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
173828,남산한옥마을 공영주차장(시),중구 필동2가 83-1,NW,노외 주차장,5,시간제 + 버스전용 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),16.0,3.0,2025-06-02 16:56:33,Y,유료,N,야간 미개방,0900,2000,0900,2000,0900,2000,N,무료,N,무료,,,430.0,5.0,430.0,5.0,860.0,5.0,0.0,0.0,30900.0,*,*,N,*
173831,도봉산 공영주차장(시),도봉구 도봉동 282-26,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),142.0,94.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2200,0800,2200,0800,2200,N,무료,N,무료,126000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
173840,볕우물 공영주차장(시),강동구 암사동 473-3,NW,노외 주차장,1,시간제 주차장,02-2290-6410,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),96.0,77.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,90000,,130.0,5.0,130.0,5.0,0.0,0.0,0.0,0.0,9300.0,*,*,N,*
173867,천호역 공영주차장(시),강동구 천호동 455-0,NW,노외 주차장,1,시간제 주차장,02-2290-6201,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1431.0,1132.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,베스텔라랩,com.vestellalab.watchmilepublic,Y,*
881056,목동노외 공영주차장(시),양천구 목동 905-32,NW,노외 주차장,1,시간제 주차장,02-2664-1386,0,미연계중,48.0,0.0,,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,70000,,150.0,5.0,150.0,5.0,0.0,0.0,0.0,0.0,9000.0,*,*,N,*
1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,NW,노외 주차장,1,시간제 주차장,02-2290-6034,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),91.0,57.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1040225,논현로22길(시),강남구 개포동 1266-0,NW,노외 주차장,1,시간제 주차장,02-2176-0907,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),97.0,37.0,2024-08-27 19:02:01,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,120000,,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1051043,구파발역 공영주차장(시),은평구 진관동 66-30,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399.0,370.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,31.0,2025-06-02 16:56:38,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1162010200001,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1167546,독산동 금천교 공영주차장(시),금천구 독산동 1081-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,15.0,2025-06-02 16:56:36,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1154510200186,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1208601,청계2(북2) 공영주차장(시),종로구 관수동 91-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,4.0,2025-06-02 16:56:33,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111015500003,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1210657,청계3(북1) 공영주차장(시),종로구 예지동 140-1,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,11.0,2025-06-02 16:56:34,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111015800003,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1234305,가마산고가밑 공영주차장(시),구로구 구로동 414-13,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,17.0,2025-06-02 16:56:35,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1153010200021,120.0,5.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1235522,청계3(남) 공영주차장(시),중구 주교동 51-3,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1.0,0.0,2024-10-15 13:06:14,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1114015200211,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1235665,청계6(청평화) 공영주차장(시),중구 신당동 217-91 0,NS,노상 주차장,1,시간제 주차장,02-2252-8036,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,3.0,2025-06-02 16:56:00,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,0000,N,무료,Y,유료,0,1114016200217,450.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1236612,남대문 화물 공영주차장(시),중구 남대문로4가 24-1,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1.0,0.0,2024-10-08 13:02:52,Y,유료,N,야간 미개방,0900,1900,0900,1900,0900,1900,N,무료,N,무료,,1114011700001,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1247636,신설동 공영주차장(시),동대문구 신설동 114-29,NW,노외 주차장,1,시간제 주차장,02-2232-6096,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79.0,61.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0900,1900,0900,1900,0900,1900,N,무료,N,무료,,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1277144,영등포구청역 공영주차장(시),영등포구 당산동3가 370-3,NW,노외 주차장,1,시간제 주차장,02-2290-6089,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),137.0,103.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0500,0100,0500,0100,0500,0100,N,무료,N,무료,112000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1277145,잠실역 공영주차장(시),송파구 신천동 27-0,NW,노외 주차장,1,시간제 주차장,02-2290-6402,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),357.0,287.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0500,0100,0500,0100,0500,0100,N,무료,N,무료,250000,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,28800.0,*,*,N,*
1277146,장안2동 공영주차장(시),동대문구 장안동 286-9,NW,노외 주차장,1,시간제 주차장,02-2290-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),80.0,72.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,70000,,130.0,5.0,130.0,5.0,0.0,0.0,0.0,0.0,9300.0,*,*,N,*
1277157,해방촌노외 공영주차장(시),용산구 용산동2가 1-1497,NW,노외 주차장,1,시간제 주차장,,0,미연계중,24.0,0.0,2024-02-20 18:29:05,Y,유료,N,야간 미개방,0900,2200,0900,2200,0900,2200,N,무료,N,무료,90000,,130.0,5.0,130.0,5.0,0.0,0.0,0.0,0.0,9300.0,*,*,N,*
1277160,당산노외 공영주차장(시),영등포구 당산동3가 2-1,NW,노외 주차장,1,시간제 주차장,1533-2315,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),236.0,85.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1277163,명일파출소 공영주차장(시),강동구 명일동 47-9,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),11.0,8.0,2025-06-02 16:55:59,Y,유료,N,야간 미개방,0900,2000,0900,1500,0000,0000,N,무료,Y,유료,162000,,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,15800.0,*,*,N,*
1366527,동작대교 공영주차장(시),용산구 용산동6가 69-11,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),88.0,55.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2200,0800,2200,0800,2200,N,무료,N,무료,70000,,120.0,5.0,120.0,5.0,0.0,0.0,0.0,0.0,8600.0,*,*,N,*
1366576,개화역 공영주차장(시),강서구 개화동 664-0,NW,노외 주차장,1,시간제 주차장,02-2290-6312,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),483.0,465.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
1366590,신대방역 공영주차장(시),관악구 신림동 498-0,NW,노외 주차장,1,시간제 주차장,02-2290-6144,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),60.0,46.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1366593,구로디지털단지역(상) 공영주차장(시),관악구 신림동 1677-5,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),31.0,14.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1366600,학여울 공영주차장(시),강남구 대치동 514-1,NW,노외 주차장,1,시간제 주차장,02-3405-4074,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),180.0,128.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0500,0100,0500,0100,0500,0100,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1366602,일원터널 공영주차장(시),강남구 일원동 722-1,NW,노외 주차장,1,시간제 주차장,02-2290-6449,0,미연계중,11.0,0.0,,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,70000,,130.0,5.0,130.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1366624,창동역(서) 공영주차장(시),도봉구 창동 330-0,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),106.0,73.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1366903,석계역 공영주차장(시),노원구 월계동 50-9,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),70.0,69.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1367120,동구로 공영주차장(시),구로구 구로동 94-1,NW,노외 주차장,1,시간제 주차장,02-3405-4086,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),70.0,34.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,320.0,5.0,320.0,5.0,0.0,0.0,0.0,0.0,23000.0,*,*,N,*
1367264,적선동 주차장(시),종로구 적선동 140-0,NW,노외 주차장,4,버스전용 주차장,02-2264-4895,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),28.0,7.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0900,1900,0900,1900,0900,1900,N,무료,N,무료,0,,8100.0,120.0,680.0,5.0,8100.0,120.0,680.0,5.0,0.0,*,*,N,*
1367564,해군본부앞 공영주차장(시),영등포구 신길동 812-0,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,9.0,2025-06-02 16:56:38,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1156013200124,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1367773,가산동 금천교 공영주차장(시),금천구 가산동 691-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,24.0,2025-06-02 16:56:36,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1154510100104,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
